frame    mol0
    0      NA
    1   0.000
    2   0.745
    3   0.998
    4   1.079
    5   1.104
    6   1.186
    7   1.325
    8   1.602
    9   1.625
   10   1.735
   11   1.885
   12   1.913
   13   1.622
   14   1.445
   15   1.226
   16   1.291
   17   1.410
   18   1.406
   19   1.443
   20   1.514
   21   1.590
   22   1.388
   23   1.472
   24   1.558
   25   1.626
   26   1.539
   27   1.419
   28   1.487
   29   1.350
   30   1.480
   31   1.353
   32   1.448
   33   1.501
   34   1.510
   35   1.502
   36   1.486
   37   1.644
   38   1.958
   39   1.904
   40   1.823
   41   1.540
   42   1.464
   43   1.503
   44   1.443
   45   1.300
   46   1.446
   47   1.465
   48   1.289
   49   1.536
   50   1.622
   51   1.629
   52   1.607
   53   1.774
   54   1.788
   55   1.737
   56   1.626
   57   1.765
   58   1.541
   59   1.360
   60   1.433
   61   1.452
   62   1.519
   63   1.408
   64   1.415
   65   1.647
   66   1.764
   67   1.545
   68   1.402
   69   1.465
   70   1.555
   71   1.418
   72   1.345
   73   1.327
   74   1.456
   75   1.335
   76   1.455
   77   1.507
   78   1.493
   79   1.535
   80   1.390
   81   1.501
   82   1.515
   83   1.535
   84   1.476
   85   1.664
   86   1.774
   87   1.698
   88   1.618
   89   1.395
   90   1.353
   91   1.466
   92   1.505
   93   1.409
   94   1.540
   95   1.597
   96   1.575
   97   1.724
   98   1.510
   99   1.362
  100   1.628
  101   1.637

