traj;test loss
1;0.145
2;0.118
3;0.111
4;0.114
6;0.105
7;0.100
8;0.097
9;0.097
10;0.094
11;0.093
12;0.091
13;0.091
14;0.090
15;0.091
17;0.087
18;0.087
20;0.085
21;0.083
23;0.082
24;0.082
25;0.081
26;0.082
28;0.078
29;0.076
30;0.077
31;0.076
32;0.075
33;0.078
34;0.075
35;0.073
38;0.073
40;0.071
42;0.070
43;0.072
44;0.075
45;0.070
46;0.070
47;0.070
48;0.067
50;0.066
53;0.065
54;0.065
55;0.064
56;0.063
57;0.063
58;0.063
59;0.062
69;0.060
74;0.057
79;0.056
94;0.052

